"Dataset","GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display","Numeric","Low","High","Comments"
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","AND","MLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","AND","MLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","AND","MLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","AND","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","AND","FMLE","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","AND","FMLE","86","86.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","AND","BTSX","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","AND","BTSX","80","80.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","AND","BTSX","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EMR","WB_HI","ARE","MLE","71","71.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","ARE","MLE","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EMR","WB_HI","ARE","MLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EMR","WB_HI","ARE","FMLE","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","ARE","FMLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EMR","WB_HI","ARE","FMLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EMR","WB_HI","ARE","BTSX","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","ARE","BTSX","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EMR","WB_HI","ARE","BTSX","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","ATG","MLE","70","70.00000",,,
